Category,Market,Service,Month Day,Date,Unsubscribed,Active Subs,New Subs,Total Subs,New Paid,Renewals Paid,Total Paid,Currency,New Billed Revenue,Renewal Revenue,USD rate,Daily Revenue,Month Cumm,USD/ZAR,Month Revenue,Month Target,Target Run Rate,Actual Run Rate,Required Run Rate
,,,,misDate [A],unsubscription [G],active_base [H],totalSubscription [B],total_base [I],paidSubscription [C],renewals [E],,,subscriptionRevenue [D],renewalsRevenue [F],,,,,,,,,
Content Business,Zimbabwe,YoGamezPro,1,12/1/2025,155,361 413,1 508,687 776,75,23 955,24 030,USD,12,2 567,1,$2 567,$2 567,17.00,R43 639,R1 500 000,R48 387,R43 639,R48 387
Content Business,Zimbabwe,YoGamezPro,2,12/2/2025,129,363 968,1 348,689 153,62,24 077,24 139,USD,7,2 662,1,$2 662,$5 229,17.00,R88 887,R1 500 000,R48 387,R44 443,R48 545
Content Business,Zimbabwe,YoGamezPro,3,12/3/2025,130,366 424,1 418,690 578,80,24 674,24 754,USD,11,2 815,1,$2 815,$8 044,17.00,R136 748,R1 500 000,R48 387,R45 583,R48 659
Content Business,Zimbabwe,YoGamezPro,4,12/4/2025,123,369 062,1 343,691 994,90,25 517,25 607,USD,12,2 895,1,$2 895,$10 939,17.00,R185 971,R1 500 000,R48 387,R46 493,R48 688
Content Business,Zimbabwe,YoGamezPro,5,12/5/2025,135,371 507,1 674,693 764,78,25 366,25 444,USD,10,2 836,1,$2 836,$13 775,17.00,R234 183,R1 500 000,R48 387,R46 837,R48 668
Content Business,Zimbabwe,YoGamezPro,6,12/6/2025,111,373 883,1 498,695 287,73,25 636,25 709,USD,11,2 875,1,$2 875,$16 651,17.00,R283 065,R1 500 000,R48 387,R47 177,R48 685
Content Business,Zimbabwe,YoGamezPro,7,12/7/2025,133,376 147,1 675,697 000,91,25 860,25 951,USD,15,2 922,1,$2 922,$19 573,17.00,R332 734,R1 500 000,R48 387,R47 533,R48 677
Content Business,Zimbabwe,YoGamezPro,8,12/8/2025,149,378 318,1 685,698 781,92,24 838,24 930,USD,15,2 726,1,$2 726,$22 299,17.00,R379 076,R1 500 000,R48 387,R47 384,R48 636
Content Business,Zimbabwe,YoGamezPro,9,12/9/2025,148,380 506,1 768,700 599,91,25 991,26 082,USD,15,2 897,1,$2 897,$25 196,17.00,R428 331,R1 500 000,R48 387,R47 592,R48 736
Content Business,Zimbabwe,YoGamezPro,10,12/10/2025,138,382 526,1 634,702 350,108,24 079,24 187,USD,19,2 697,1,$2 697,$27 893,17.00,R474 183,R1 500 000,R48 387,R47 418,R48 712
Content Business,Zimbabwe,YoGamezPro,11,12/11/2025,135,384 163,1 670,704 093,100,23 639,23 739,USD,19,2 554,1,$2 554,$30 447,17.00,R517 594,R1 500 000,R48 387,R47 054,R48 848
Content Business,Zimbabwe,YoGamezPro,12,12/12/2025,107,385 874,1 634,705 802,76,24 288,24 364,USD,10,2 668,1,$2 668,$33 115,17.00,R562 956,R1 500 000,R48 387,R46 913,R49 120
Content Business,Zimbabwe,YoGamezPro,13,12/13/2025,101,387 399,1 523,707 358,77,23 836,23 913,USD,12,2 606,1,$2 606,$35 721,17.00,R607 260,R1 500 000,R48 387,R46 712,R49 318
Content Business,Zimbabwe,YoGamezPro,14,12/14/2025,145,389 077,1 560,708 952,87,23 958,24 045,USD,14,2 663,1,$2 663,$38 385,17.00,R652 540,R1 500 000,R48 387,R46 610,R49 597
Content Business,Zimbabwe,YoGamezPro,15,12/15/2025,143,392 143,1 631,710 642,145,30 292,30 437,USD,26,3 894,1,$3 894,$42 279,17.00,R718 736,R1 500 000,R48 387,R47 916,R49 851
Content Business,Zimbabwe,YoGamezPro,16,12/16/2025,143,393 784,1 787,712 456,100,28 606,28 706,USD,17,3 084,1,$3 084,$45 363,17.00,R771 168,R1 500 000,R48 387,R48 198,R48 829
Content Business,Zimbabwe,YoGamezPro,17,12/17/2025,123,395 280,1 757,714 246,77,24 760,24 837,USD,14,2 662,1,$2 662,$48 025,17.00,R816 419,R1 500 000,R48 387,R48 025,R48 589
